0,15
1,27
2,41
3,45
4,53
5,60
6,75
7,84
8,91
9,106
10,119
11,120
12,133
13,150
14,151
15,171
16,177
17,183
18,192
19,209
20,212
21,227
22,246
23,256
24,263
25,269
26,289
27,291
28,297
29,302
30,319
31,321
32,335
33,355
34,366
35,372
36,374
37,399
38,403
39,415
40,421
41,432
42,432
43,449
44,460
45,480
46,483
47,490
48,490
49,512
50,512
51,525
52,542
53,547
54,564
55,564
56,576
57,591
58,591
59,616
60,616
61,622
62,631
63,642
64,651
65,663
66,683
67,692
68,698
69,723
70,728
71,734
72,739
73,760
74,760
75,781
76,784
77,795
78,799
79,805
80,810
81,837
82,837
83,847
84,859
85,876
86,876
87,890
88,890
89,904
90,914
91,943
92,943
93,959
94,963
95,986
96,986
97,996
98,1001
99,1013
100,1020
101,1024
102,1055
103,1062
104,1066
105,1070
106,1081
107,1087
108,1105
109,1105
110,1122
111,1126
112,1136
113,1161
114,1164
115,1168
116,1184
117,1199
118,1199
119,1209
120,1230
121,1234
122,1238
123,1246
124,1276
125,1283
126,1287
127,1294
128,1305
129,1305
130,1324
131,1324
132,1338
133,1346
134,1362
135,1368
136,1387
137,1387
138,1391
139,1415
140,1418
141,1435
142,1435
143,1446
144,1461
145,1465
146,1495
147,1496
148,1507
149,1512
150,1523
151,1523
152,1534
153,1542
154,1566
155,1568
156,1572
157,1601
158,1601
159,1611
160,1613
161,1627
162,1633
163,1643
164,1651
165,1662
166,1674
167,1684
168,1711
169,1711
170,1715
171,1725
172,1744
173,1744
174,1765
175,1765
176,1786
177,1788
178,1792
179,1818
180,1824
181,1828
182,1833
183,1850
184,1858
185,1879
186,1879
187,1888
188,1890
189,1900
190,1930
191,1934
192,1938
193,1940
194,1962
195,1964
196,1974
197,1999
198,2012
199,2016
200,2016
201,2033
202,2033
203,2043
204,2056
205,2071
206,2071
207,2087
208,2093
209,2102
210,2115
211,2148
212,2148
213,2160
214,2169
215,2178
216,2186
217,2196
218,2198
219,2212
220,2214
221,2226
222,2256
223,2264
224,2268
225,2279
226,2296
227,2296
228,2306
229,2310
230,2325
231,2332
232,2336
233,2366
234,2370
235,2380
236,2382
237,2391
238,2391
239,2417
240,2417
241,2435
242,2443
243,2447
244,2460
245,2477
246,2477
247,2481
248,2512
249,2512
250,2522
251,2522
252,2531
253,2553
254,2557
255,2589
256,2590
257,2601
258,2603
259,2612
260,2612
261,2628
262,2632
263,2646
264,2663
265,2667
266,2695
267,2699
268,2703
269,2705
270,2722
271,2726
272,2744
273,2744
274,2770
275,2772
276,2782
277,2782
278,2806
279,2806
280,2810
281,2824
282,2833
283,2841
284,2851
285,2873
286,2875
287,2885
288,2912
289,2919
290,2923
291,2925
292,2939
293,2943
294,2967
295,2967
296,2976
297,2982
298,2990
299,3025
300,3025
301,3031
302,3033
303,3049
304,3058
305,3072
306,3076
307,3090
308,3098
309,3102
310,3120
311,3120
312,3136
313,3148
314,3174
315,3174
316,3182
317,3186
318,3195
319,3204
320,3243
321,3244
322,3248
323,3258
324,3277
325,3281
326,3289
327,3289
328,3306
329,3312
330,3322
331,3324
332,3341
333,3341
334,3356
335,3365
336,3379
337,3383
338,3406
339,3406
340,3421
341,3423
342,3454
343,3467
344,3471
345,3477
346,3486
347,3486
348,3505
349,3507
350,3529
351,3531
352,3535
353,3569
354,3569
355,3573
356,3579
357,3603
358,3603
359,3611
360,3614
361,3623
362,3639
363,3650
364,3659
365,3685
366,3685
367,3695
368,3697
369,3706
370,3722
371,3726
372,3745
373,3747
374,3761
375,3761
376,3793
377,3793
378,3797
379,3803
380,3815
381,3822
382,3830
383,3841
384,3854
385,3864
386,3899
387,3899
388,3909
389,3919
390,3928
391,3930
392,3938
393,3964
394,3973
395,3982
396,3982
397,3999
398,4003
399,4007
