161,58.57,48.38,79.12,,,,
162,68.58,55.57,77.47,,,,
163,65.36,55.45,76.5,,,,
164,67.42,47.33,74.98,,,,
165,63.05,49.32,78.06,,,,
166,68.44,56.12,71.82,,,,
167,70.28,53,79.17,,,,
168,69.82,47.61,79.05,,,,
169,70.31,50.15,78.91,,,,
170,69.66,49.54,77.92,,,,
171,69.86,55.1,68.72,,,,
172,65.9,48.23,78.77,,,,
173,60.61,51.91,78.76,,,,
174,69.43,51.9,79.85,,,,
175,64.38,51.29,78.89,,,,
176,66.57,55.48,79.22,,,,
177,68.7,56.72,77.86,,,,
178,68.75,55.71,79.08,,,,
179,69.51,52.77,78.09,,,,
180,71.41,53.85,74.2,,,,
181,70.64,54.84,76.29,,,,
182,62.65,55.52,78.58,,,,
183,72.3,55.18,78.83,,,,
184,55.99,48.57,80.12,,,,
185,61.73,54.76,81.23,,,,
186,62.53,55.6,80.4,,,,
187,66.61,57.72,77.68,,,,
188,70.33,53.3,79.4,,,,
189,69.33,44.48,79.42,,,,
190,70.17,54.38,79.64,,,,
191,71.33,53.98,75.27,,,,
192,71.59,51.15,81.42,,,,
193,62.3,54.33,77.67,,,,
194,65.8,54.56,80.6,,,,
195,63.7,57.83,72.6,,,,
196,70.2,56.91,80.16,,,,
197,70.92,56.69,77.49,,,,
198,70.27,47.32,79.38,,,,
199,71.55,57.4,80.75,,,,
200,72.19,54.22,80.24,,,,
201,73.72,54.06,79.45,,,,
202,68.73,51.49,80.23,,,,
203,66.23,60.15,81.41,,,,
204,69.42,58.33,75.83,,,,
205,72.53,52.41,78.47,,,,
206,72.24,55.56,80.72,,,,
207,69.67,53.03,80.65,,,,
208,67.16,59.31,81.48,,,,
209,75.29,55.31,81.9,,,,
210,71.22,56.84,80.4,,,,
211,68.9,57.19,80.4,,,,
212,73.15,56.55,77.91,,,,
213,69.79,49.52,77.08,,,,
214,71.5,54.84,76.55,,,,
215,62.96,58.04,80.24,,,,
216,66.84,57.84,78.98,,,,
217,73.55,59.08,82.32,,,,
218,73.08,59.53,79.97,,,,
219,70.31,62.18,80.26,,,,
220,76.68,55.71,81.5,,,,
221,68.86,52.25,79.18,,,,
222,67.23,50.26,80.82,,,,
223,69.3,57.86,81.81,,,,
224,76.33,52.52,82.1,,,,
225,77.17,62.9,69.51,,,,
226,71.73,57.65,81.37,,,,
227,76.25,59.05,81.94,,,,
228,76.13,60.53,80.5,,,,
229,76.07,58.85,81.7,,,,
230,75.63,56.22,78.82,,,,
231,69.15,57.82,81.7,,,,
232,71.26,58.47,82.59,,,,
233,75.23,60.22,81.84,,,,
234,68.02,61.8,82.19,,,,
235,74.98,56.08,79.88,,,,
236,74.23,59.18,81.28,,,,
237,77.78,56.42,81.94,,,,
238,76.06,58.7,79.04,,,,
239,74.9,61.6,82.3,,,,
240,77.78,57.86,83.36,,,,
241,75.42,60.5,82.79,,,,
242,75.3,59.96,82.94,,,,
243,76.19,59.33,82.83,,,,
244,72.49,61.69,83.81,,,,
245,74.33,56.98,80.06,,,,
246,73.77,58.47,81.4,,,,
247,77.68,59.32,83.2,,,,
248,72.36,57.43,82.69,,,,
249,76.71,60.45,82.22,,,,
250,70.38,58.79,80.23,,,,
251,72.02,61.25,83.36,,,,
252,76.04,60.21,82.54,,,,
253,74.3,56.15,78.28,,,,
254,79.14,62.52,84.16,,,,
255,75.4,60.35,83.45,,,,
256,74.4,53.42,82.08,,,,
257,74.53,61.58,81.28,,,,
258,77.06,59,79.94,,,,
259,69.49,58.62,84.17,,,,
260,72.01,59.02,78.09,,,,
261,76.34,62.17,84.13,,,,
262,71.25,59.75,83.43,,,,
263,77.66,59.87,82.81,,,,
264,71.86,63.3,83.03,,,,
265,76.2,61.73,85.31,,,,
266,78.52,62.8,81.28,,,,
267,79.71,56.43,83.45,,,,
268,78.91,61.45,84.26,,,,
269,77.76,61.64,80.88,,,,
270,74.81,58.1,82.73,,,,
271,78.78,63.81,85.04,,,,
272,73.39,60.06,83.29,,,,
273,67.24,59.93,81.32,,,,
274,75.04,61.11,83.74,,,,
275,74.17,63.84,84.63,,,,
276,79.38,61.46,67.19,,,,
277,65.35,60.31,83.02,,,,
278,58.65,64.52,78.89,,,,
279,63.49,64.17,76.51,,,,
280,76.64,60.5,82.73,,,,
281,64.27,64.2,82.31,,,,
282,72.58,63.34,83.24,,,,
283,64.05,59.14,84.01,,,,
284,76.54,60.29,80.73,,,,
285,76.42,63.47,81.84,,,,
286,78.8,65.86,84.56,,,,
287,77.68,66.8,82.21,,,,
288,77.66,63.49,77.32,,,,
289,73.86,63.15,84.72,,,,
290,78.3,64.03,82.52,,,,
291,79.9,62.19,83.15,,,,
292,74.77,62.01,84.92,,,,
293,74.26,63.28,80.35,,,,
294,70.3,58.87,83.8,,,,
295,73.91,65.31,85.18,,,,
296,79.64,63.98,84.39,,,,
297,78.58,64.75,83.14,,,,
298,77.28,62.92,80.29,,,,
299,78.57,65.46,83.66,,,,
300,78.36,58.96,83.46,,,,
301,76.51,60.64,84.78,,,,
302,79.3,66.31,83.4,,,,
303,79.17,61.35,84.7,,,,
304,76.6,63.2,83.56,,,,
305,80.25,62.16,84.72,,,,
306,72.13,65.89,83.39,,,,
307,74.02,64.51,84.67,,,,
308,73.44,64.37,84.25,,,,
309,77.41,67.16,80.97,,,,
310,68.14,64.31,85.17,,,,
311,75.56,57.37,85.69,,,,
312,72.86,65.01,82.49,,,,
313,71.29,63.99,79.79,,,,
314,74.53,66.24,84.26,,,,
315,81.07,65.65,85.89,,,,
316,79.2,64.73,84.96,,,,
317,78.88,61.91,85.07,,,,
318,78.86,61.98,82.61,,,,
319,81.51,68.25,85.79,,,,
320,77.1,57.92,85.04,,,,
321,77.62,61.07,85.86,,,,
322,81.36,65.92,84.96,,,,
323,81.55,63.14,86.36,,,,
324,75.01,62.71,84.09,,,,
325,65.67,64.3,85.22,,,,
326,72.75,64.69,85.64,,,,
327,79.72,61.38,80.19,,,,
328,81.17,66.02,84.93,,,,
329,80.12,66.92,81.34,,,,
330,79.03,66.38,83.73,,,,
331,76.08,68.61,86.25,,,,
332,76.5,63.79,82.32,,,,
333,78.74,62.14,85.3,,,,
334,74.15,65.1,82.95,,,,
335,76.97,67.23,86.8,,,,
336,77.94,66.34,83.87,,,,
337,79.98,65.94,83.37,,,,
338,77.86,63.41,84.45,,,,
339,78.01,65.74,84.69,,,,
340,71.55,65.75,84.24,,,,
341,68.55,56.07,83.14,,,,
