0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10
2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 1]",19
3,"[3, 3, 3, 3, 2, 3, 3, 2, 3, 2]",27
4,"[4, 3, 3, 4, 4, 2, 4, 2, 4, 4]",34
5,"[3, 5, 3, 5, 5, 5, 5, 5, 5, 5]",46
6,"[2, 6, 4, 4, 5, 3, 2, 3, 6, 4]",39
7,"[3, 5, 6, 3, 5, 7, 1, 7, 1, 6]",44
8,"[2, 8, 2, 7, 8, 2, 4, 4, 2, 4]",43
9,"[5, 2, 7, 3, 7, 3, 9, 9, 2, 3]",50
10,"[8, 3, 10, 4, 3, 4, 10, 1, 4, 2]",49
11,"[2, 3, 8, 11, 8, 11, 2, 5, 2, 11]",63
12,"[2, 3, 3, 4, 2, 4, 3, 4, 2, 3]",30
13,"[5, 3, 4, 3, 3, 13, 6, 6, 8, 1]",52
14,"[9, 9, 2, 9, 9, 9, 9, 2, 2, 14]",74
15,"[15, 2, 9, 6, 3, 15, 6, 3, 5, 3]",67
16,"[3, 16, 4, 10, 4, 7, 3, 4, 6, 3]",60
17,"[5, 17, 5, 5, 17, 5, 5, 17, 2, 2]",80
18,"[12, 3, 3, 18, 18, 3, 18, 3, 8, 8]",94
19,"[19, 19, 19, 2, 12, 4, 4, 19, 2, 4]",104
20,"[8, 3, 5, 20, 13, 20, 3, 8, 5, 20]",105
21,"[21, 21, 2, 21, 13, 6, 3, 5, 2, 5]",99
22,"[4, 22, 6, 3, 6, 7, 3, 22, 22, 1]",96
23,"[8, 23, 4, 8, 4, 14, 14, 2, 4, 8]",89
24,"[3, 15, 5, 3, 24, 5, 11, 11, 24, 11]",112
25,"[4, 12, 4, 12, 12, 12, 3, 3, 25, 3]",90
26,"[26, 17, 4, 5, 5, 5, 7, 5, 7, 2]",83
27,"[12, 5, 5, 6, 4, 3, 4, 9, 12, 27]",87
28,"[6, 18, 10, 18, 4, 6, 7, 4, 6, 28]",107
29,"[29, 29, 3, 3, 18, 3, 3, 29, 3, 29]",149
30,"[13, 4, 30, 2, 8, 4, 8, 4, 5, 2]",80
31,"[6, 5, 6, 9, 3, 5, 6, 3, 5, 31]",79
32,"[32, 2, 13, 6, 3, 32, 2, 3, 20, 7]",120
33,"[3, 14, 7, 3, 8, 33, 33, 10, 1, 10]",122
34,"[34, 4, 4, 11, 2, 11, 4, 11, 11, 11]",103
35,"[3, 5, 3, 22, 5, 14, 3, 5, 35, 5]",100
36,"[4, 10, 36, 6, 10, 6, 3, 22, 3, 36]",136
37,"[4, 4, 37, 37, 2, 11, 7, 4, 22, 7]",135
38,"[5, 16, 16, 6, 4, 3, 38, 23, 4, 12]",127
39,"[6, 9, 4, 17, 6, 39, 7, 4, 6, 39]",137
40,"[8, 40, 8, 3, 24, 40, 40, 6, 3, 6]",178
41,"[25, 7, 4, 7, 4, 41, 4, 4, 41, 41]",178
42,"[18, 25, 3, 5, 5, 3, 13, 5, 3, 5]",85
43,"[4, 6, 2, 25, 25, 6, 3, 2, 25, 3]",101
44,"[10, 18, 10, 26, 18, 3, 26, 7, 3, 11]",132
45,"[12, 12, 6, 6, 12, 12, 12, 12, 6, 6]",96
46,"[27, 3, 9, 14, 5, 9, 5, 27, 3, 5]",107
47,"[10, 9, 4, 6, 28, 15, 28, 4, 9, 6]",119
48,"[5, 5, 20, 3, 28, 3, 28, 3, 3, 28]",126
49,"[2, 12, 4, 4, 28, 15, 6, 3, 5, 2]",81
50,"[6, 4, 13, 5, 29, 6, 3, 5, 6, 7]",84
51,"[4, 6, 2, 30, 2, 2, 30, 2, 2, 2]",82
52,"[9, 20, 9, 7, 7, 2, 7, 30, 3, 7]",101
53,"[4, 16, 16, 3, 4, 8, 3, 16, 4, 3]",77
54,"[32, 5, 5, 5, 13, 5, 5, 10, 2, 10]",92
55,"[32, 11, 6, 4, 3, 11, 4, 11, 11, 11]",104
56,"[4, 7, 4, 23, 2, 4, 4, 2, 4, 32]",86
57,"[3, 33, 5, 17, 3, 5, 22, 3, 3, 1]",95
58,"[13, 5, 2, 5, 5, 7, 2, 5, 13, 2]",59
59,"[8, 2, 10, 7, 3, 22, 7, 3, 5, 3]",70
60,"[3, 23, 4, 9, 11, 34, 4, 17, 9, 8]",122
61,"[18, 4, 5, 7, 4, 5, 2, 34, 2, 34]",115
62,"[3, 3, 23, 13, 3, 5, 5, 3, 23, 5]",86
63,"[6, 35, 2, 4, 4, 2, 4, 17, 2, 4]",80
64,"[3, 5, 10, 10, 10, 10, 10, 10, 10, 7]",85
65,"[8, 36, 24, 2, 6, 3, 36, 2, 12, 3]",132
66,"[3, 7, 3, 36, 1, 7, 3, 7, 3, 14]",84
67,"[15, 5, 2, 5, 4, 5, 8, 2, 15, 4]",65
68,"[6, 3, 5, 25, 25, 3, 25, 3, 9, 9]",113
69,"[26, 26, 3, 38, 3, 3, 38, 3, 24, 1]",165
70,"[11, 13, 4, 4, 25, 5, 3, 38, 2, 3]",108
71,"[20, 12, 5, 7, 3, 5, 26, 14, 6, 26]",124
72,"[4, 8, 6, 6, 6, 6, 6, 16, 3, 3]",64
73,"[41, 4, 41, 4, 26, 4, 26, 4, 26, 9]",185
74,"[3, 10, 8, 41, 5, 8, 5, 10, 3, 10]",103
75,"[6, 11, 11, 11, 9, 4, 6, 4, 21, 6]",89
76,"[3, 27, 14, 7, 4, 6, 3, 42, 6, 4]",116
77,"[10, 28, 43, 18, 7, 10, 18, 4, 7, 8]",153
78,"[5, 13, 9, 9, 3, 5, 22, 5, 3, 5]",79
79,"[44, 4, 6, 4, 6, 29, 4, 4, 29, 43]",173
80,"[3, 3, 3, 44, 3, 5, 5, 17, 5, 5]",93
81,"[2, 12, 8, 29, 4, 22, 8, 4, 15, 15]",119
82,"[7, 4, 3, 45, 23, 4, 13, 5, 9, 3]",116
83,"[17, 6, 46, 8, 4, 31, 6, 2, 14, 2]",136
84,"[46, 8, 3, 46, 15, 3, 8, 11, 11, 30]",181
85,"[12, 4, 12, 4, 10, 12, 12, 12, 10, 2]",90
86,"[5, 24, 5, 47, 47, 6, 3, 6, 5, 24]",172
87,"[7, 4, 6, 7, 4, 6, 2, 47, 6, 3]",92
88,"[3, 4, 48, 32, 48, 3, 32, 18, 7, 3]",198
89,"[24, 2, 8, 4, 8, 4, 2, 13, 4, 8]",77
90,"[3, 5, 3, 5, 15, 3, 5, 5, 3, 21]",68
91,"[6, 8, 6, 8, 2, 2, 2, 2, 1, 24]",61
92,"[11, 3, 3, 25, 5, 2, 2, 25, 2, 8]",86
93,"[12, 34, 4, 18, 9, 26, 18, 3, 4, 26]",154
94,"[7, 4, 5, 10, 3, 10, 10, 4, 3, 4]",60
95,"[11, 11, 11, 11, 5, 4, 5, 4, 22, 34]",118
96,"[5, 5, 35, 27, 3, 7, 13, 5, 7, 5]",112
97,"[16, 16, 28, 4, 6, 8, 7, 4, 16, 6]",111
98,"[29, 15, 29, 5, 8, 7, 35, 3, 7, 4]",142
99,"[4, 5, 19, 4, 8, 4, 22, 6, 6, 6]",84
100,"[7, 3, 28, 5, 5, 3, 28, 5, 3, 5]",92
101,"[4, 29, 6, 36, 4, 36, 12, 4, 10, 10]",151
102,"[3, 3, 3, 3, 7, 15, 7, 36, 1, 11]",89
103,"[8, 4, 22, 8, 4, 28, 13, 6, 3, 5]",101
104,"[3, 6, 23, 4, 13, 5, 29, 6, 9, 3]",101
105,"[6, 7, 8, 4, 6, 12, 12, 12, 12, 12]",91
106,"[13, 13, 4, 4, 4, 4, 38, 4, 4, 38]",126
107,"[3, 5, 5, 29, 3, 5, 3, 5, 29, 3]",90
108,"[6, 23, 6, 6, 23, 6, 6, 2, 13, 6]",97
109,"[4, 40, 3, 4, 9, 19, 18, 9, 18, 8]",132
110,"[4, 15, 8, 4, 9, 2, 8, 29, 4, 8]",91
111,"[5, 16, 16, 3, 5, 9, 3, 16, 5, 3]",81
112,"[31, 6, 4, 4, 41, 41, 23, 2, 5, 2]",159
113,"[6, 13, 6, 3, 6, 3, 10, 1, 11, 10]",69
114,"[41, 4, 4, 30, 11, 6, 3, 2, 11, 3]",115
115,"[13, 5, 12, 12, 12, 3, 5, 7, 3, 22]",94
116,"[6, 19, 8, 8, 3, 3, 3, 3, 25, 25]",103
117,"[15, 4, 5, 26, 42, 5, 4, 9, 42, 5]",157
118,"[10, 27, 6, 27, 3, 8, 5, 8, 5, 3]",102
119,"[6, 32, 9, 4, 32, 6, 18, 4, 6, 2]",119
120,"[22, 7, 4, 3, 4, 43, 3, 7, 3, 25]",121
121,"[2, 13, 4, 4, 26, 5, 2, 5, 4, 5]",70
122,"[8, 3, 5, 6, 27, 14, 27, 3, 8, 5]",106
123,"[44, 4, 4, 44, 3, 3, 3, 3, 10, 10]",128
124,"[11, 11, 12, 11, 11, 11, 2, 11, 7, 4]",91
125,"[23, 8, 5, 15, 15, 6, 4, 3, 44, 23]",146
126,"[5, 10, 13, 35, 6, 18, 10, 9, 18, 4]",128
127,"[17, 7, 46, 8, 5, 7, 28, 7, 28, 7]",160
128,"[8, 8, 29, 4, 4, 4, 4, 4, 45, 4]",114
129,"[21, 9, 46, 9, 3, 5, 5, 35, 3, 35]",171
130,"[6, 4, 6, 4, 6, 2, 23, 45, 45, 28]",169
131,"[15, 7, 4, 6, 3, 6, 4, 24, 29, 6]",104
132,"[4, 7, 8, 4, 35, 2, 8, 4, 8, 4]",84
133,"[3, 5, 19, 9, 3, 5, 3, 5, 46, 3]",101
134,"[4, 10, 47, 47, 10, 17, 11, 2, 11, 14]",173
135,"[12, 3, 12, 12, 12, 12, 8, 3, 15, 3]",92
136,"[9, 23, 30, 6, 6, 6, 30, 6, 36, 24]",176
137,"[3, 13, 5, 5, 7, 4, 37, 3, 14, 4]",95
138,"[14, 6, 4, 6, 8, 4, 6, 2, 2, 2]",54
139,"[3, 3, 3, 37, 1, 7, 29, 3, 7, 3]",96
140,"[16, 16, 5, 2, 5, 4, 5, 8, 2, 16]",79
141,"[5, 6, 3, 31, 5, 22, 7, 7, 2, 25]",113
142,"[26, 6, 4, 3, 26, 4, 9, 18, 9, 26]",131
143,"[19, 4, 27, 7, 4, 2, 38, 4, 4, 2]",111
144,"[5, 3, 5, 39, 3, 5, 10, 10, 31, 10]",121
145,"[15, 4, 6, 6, 11, 4, 11, 11, 11, 6]",85
146,"[7, 3, 3, 3, 3, 26, 1, 10, 7, 12]",75
147,"[4, 23, 8, 4, 27, 6, 3, 39, 2, 23]",139
148,"[4, 21, 12, 5, 9, 8, 3, 5, 28, 14]",109
149,"[8, 29, 4, 9, 6, 13, 3, 5, 3, 5]",85
150,"[33, 6, 4, 33, 6, 17, 4, 4, 4, 9]",120
151,"[19, 10, 3, 5, 5, 3, 40, 5, 3, 5]",98
152,"[41, 4, 6, 2, 27, 6, 3, 2, 27, 3]",121
153,"[3, 7, 3, 28, 23, 5, 5, 23, 5, 7]",109
154,"[6, 8, 10, 2, 10, 8, 41, 4, 8, 4]",101
155,"[16, 16, 11, 3, 11, 5, 11, 11, 11, 9]",104
156,"[4, 17, 6, 4, 22, 6, 4, 4, 2, 2]",71
157,"[3, 3, 1, 11, 3, 3, 27, 13, 5, 2]",71
158,"[5, 2, 42, 5, 3, 9, 12, 34, 4, 28]",144
159,"[43, 18, 6, 10, 18, 3, 5, 6, 7, 3]",119
160,"[6, 24, 3, 14, 3, 13, 7, 3, 14, 3]",90
161,"[8, 4, 4, 2, 7, 4, 7, 21, 4, 2]",63
162,"[5, 43, 8, 3, 5, 3, 5, 34, 5, 5]",116
163,"[35, 6, 6, 2, 28, 6, 3, 2, 3, 2]",93
164,"[29, 7, 3, 10, 10, 10, 10, 10, 10, 10]",109
165,"[17, 44, 2, 4, 4, 2, 4, 2, 4, 44]",127
166,"[3, 5, 25, 25, 3, 25, 3, 9, 20, 9]",127
167,"[26, 8, 26, 8, 35, 2, 5, 2, 5, 18]",135
168,"[6, 3, 6, 3, 1, 11, 7, 29, 3, 22]",91
169,"[8, 4, 15, 15, 6, 3, 2, 45, 23, 3]",124
170,"[13, 5, 9, 3, 16, 5, 46, 7, 3, 31]",138
171,"[6, 3, 3, 3, 3, 35, 14, 3, 35, 4]",109
172,"[5, 13, 4, 5, 5, 26, 2, 13, 4, 4]",81
173,"[27, 3, 46, 5, 7, 3, 5, 46, 27, 14]",183
174,"[28, 4, 8, 6, 10, 2, 10, 30, 10, 6]",114
175,"[4, 3, 11, 4, 9, 11, 11, 11, 18, 9]",91
176,"[19, 4, 8, 4, 22, 37, 2, 8, 4, 23]",131
177,"[9, 5, 47, 47, 6, 3, 6, 5, 24, 6]",158
178,"[10, 4, 6, 7, 4, 6, 4, 4, 2, 2]",49
179,"[3, 3, 27, 27, 7, 27, 7, 1, 11, 3]",116
180,"[4, 47, 6, 3, 2, 3, 12, 4, 47, 32]",160
181,"[48, 3, 33, 5, 17, 7, 3, 5, 38, 5]",164
182,"[6, 6, 6, 39, 3, 3, 3, 3, 21, 3]",93
183,"[4, 9, 9, 24, 2, 7, 4, 7, 4, 15]",85
184,"[16, 3, 13, 5, 8, 3, 16, 5, 3, 5]",77
185,"[11, 11, 11, 11, 11, 11, 11, 18, 2, 13]",110
186,"[29, 15, 7, 4, 40, 6, 3, 6, 4, 20]",134
187,"[30, 7, 9, 4, 7, 15, 8, 4, 9, 2]",95
188,"[5, 5, 3, 5, 3, 5, 3, 5, 3, 3]",40
189,"[2, 2, 2, 2, 4, 4, 39, 4, 4, 39]",102
190,"[2, 24, 11, 7, 3, 22, 7, 3, 24, 5]",108
191,"[3, 3, 25, 23, 3, 9, 12, 34, 4, 17]",133
192,"[10, 9, 26, 18, 4, 5, 26, 7, 4, 5]",114
193,"[30, 8, 30, 8, 3, 3, 3, 3, 3, 3]",94
194,"[10, 2, 10, 40, 4, 4, 10, 5, 2, 5]",92
195,"[11, 5, 11, 11, 11, 6, 3, 5, 6, 3]",72
196,"[22, 6, 13, 17, 2, 34, 6, 3, 2, 3]",108
197,"[35, 3, 7, 3, 25, 1, 7, 12, 29, 3]",125
198,"[8, 4, 15, 15, 26, 2, 4, 8, 7, 2]",91
199,"[16, 5, 27, 14, 27, 3, 31, 8, 5, 23]",159
200,"[15, 4, 6, 43, 6, 4, 10, 24, 43, 6]",161
201,"[11, 7, 4, 4, 4, 4, 34, 2, 11, 4]",85
202,"[5, 6, 4, 3, 4, 12, 5, 18, 3, 5]",65
203,"[7, 4, 6, 2, 21, 5, 2, 5, 42, 5]",99
204,"[3, 6, 3, 10, 10, 30, 10, 3, 10, 3]",88
205,"[20, 11, 11, 11, 8, 8, 2, 8, 27, 4]",110
206,"[9, 5, 3, 28, 5, 9, 3, 5, 3, 28]",98
207,"[6, 36, 24, 2, 6, 3, 36, 2, 12, 3]",130
208,"[10, 18, 10, 18, 3, 7, 3, 43, 5, 5]",122
209,"[6, 44, 6, 2, 4, 4, 2, 4, 2, 4]",78
210,"[3, 5, 3, 3, 1, 13, 1, 31, 6, 1]",67
211,"[32, 16, 14, 2, 7, 35, 1, 10, 6, 2]",125
212,"[22, 7, 3, 15, 15, 27, 14, 5, 3, 4]",115
213,"[3, 45, 5, 23, 4, 12, 4, 28, 5, 8]",137
214,"[4, 17, 5, 6, 46, 7, 4, 5, 10, 3]",107
215,"[11, 11, 4, 11, 11, 11, 11, 4, 4, 21]",99
216,"[26, 26, 5, 26, 5, 9, 9, 26, 26, 3]",161
217,"[6, 6, 4, 6, 4, 6, 4, 6, 6, 6]",54
218,"[46, 7, 8, 46, 7, 8, 3, 38, 7, 4]",174
219,"[4, 5, 4, 8, 39, 4, 12, 18, 2, 8]",104
